year,week,prcp_week_in,TMAX,TMIN,TAVG,AWND,capacity_factor,rain_category,labor_hours,plant_start_week,plant_end_week,harvest_start_week,harvest_end_week,is_plant_window,is_harvest_window,labor_hours_base,harvest_weather_factor
2018,1,0.5698518518518518,16.961783439490446,-2.656050955414013,8.5,8.832183908045977,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,2,0.3355882352941174,36.0,18.20289855072464,27.51428571428572,11.712987012987012,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,3,0.1379324894514763,32.41726618705036,14.028571428571428,24.34285714285714,11.125974025974026,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,4,0.7520588235294113,46.885714285714286,28.957142857142856,38.94285714285714,10.974025974025974,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,5,0.0376444444444439,35.768115942028984,14.693430656934307,26.34285714285714,11.672727272727272,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,6,0.7214155251141552,25.05,7.485714285714286,16.457142857142856,8.144155844155845,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,7,0.1393665158371038,40.51428571428571,18.17985611510792,29.51428571428572,8.849350649350649,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,8,3.4651555555555555,48.71428571428572,32.18571428571428,39.2,12.148051948051949,0.2,very_heavy,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,9,0.4581276595744681,54.392857142857146,32.25714285714286,43.885714285714286,9.36103896103896,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,10,0.4483544303797468,41.535714285714285,25.914285714285715,33.77142857142857,10.27922077922078,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,11,0.2791176470588232,47.96402877697842,25.58992805755396,37.51428571428571,9.207792207792208,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,12,0.6920588235294117,46.94285714285714,28.035714285714285,37.94285714285714,11.96883116883117,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,13,1.1235294117647054,50.08571428571429,32.52142857142857,41.22857142857143,9.263636363636364,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,14,0.463601694915254,43.17142857142857,22.6,32.77142857142857,9.971428571428572,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,15,1.1005882352941174,56.47142857142857,37.614285714285714,47.48571428571429,11.75921052631579,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,16,0.1832352941176464,53.60714285714285,32.357142857142854,42.97142857142857,10.68051948051948,0.9,light,728339.0399999999,16,19,36,44.0,True,False,2427796.8,
2018,17,0.096286919831223,66.15,39.121428571428574,55.34285714285714,8.645454545454546,0.9,light,728339.0399999999,16,19,36,44.0,True,False,2427796.8,
2018,18,0.9570588235294114,79.40287769784173,53.23571428571429,68.85714285714286,11.107792207792206,0.7,moderate,728339.0399999999,16,19,36,44.0,True,False,2427796.8,
2018,19,0.7435294117647053,78.04285714285714,52.99285714285714,66.51428571428572,8.853246753246754,0.7,moderate,728339.0399999999,16,19,36,44.0,True,False,2427796.8,
2018,20,0.8382352941176466,79.9,57.80714285714286,69.37142857142857,7.394805194805195,0.7,moderate,728339.0399999999,16,19,36,44.0,False,False,2427796.8,
2018,21,0.9274261603375524,84.5072463768116,60.731884057971016,73.2,5.14025974025974,0.7,moderate,80926.56000000001,16,19,36,44.0,False,False,809265.6000000001,
2018,22,1.1823529411764706,86.84285714285714,64.6,77.05714285714286,7.131168831168831,0.7,moderate,80926.56000000001,16,19,36,44.0,False,False,809265.6000000001,
2018,23,1.5779411764705882,83.62857142857143,60.09285714285714,73.57142857142857,6.9,0.4,heavy,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,24,1.2407725321888408,84.92142857142858,65.81428571428572,76.45714285714286,6.963636363636364,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,25,3.00008583690987,82.0,66.28571428571429,74.11428571428571,6.572727272727273,0.2,very_heavy,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,26,0.822941176470588,86.25714285714285,67.82857142857142,77.62857142857143,8.074025974025975,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,27,0.9038235294117644,86.57857142857142,64.55395683453237,76.74285714285715,5.606493506493506,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,28,0.8577215189873415,88.22142857142858,66.19285714285714,78.85714285714286,5.364935064935065,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,29,0.6943881856540083,83.00714285714285,64.83571428571429,74.51428571428572,7.91038961038961,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,30,0.2755882352941172,81.3,60.02142857142857,71.8,5.072727272727273,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,31,0.5167647058823529,84.07857142857142,62.52857142857143,74.28571428571429,5.603896103896104,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,32,0.9005882352941172,85.93571428571428,65.45,76.4,4.661038961038961,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,33,1.1025,84.56428571428572,65.73571428571428,75.51428571428572,4.311688311688312,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,34,1.4,80.81428571428572,62.32857142857143,72.25714285714285,8.03116883116883,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,35,2.206571428571429,85.57857142857142,66.62589928057554,76.48571428571428,8.422077922077921,0.4,heavy,101158.2,16,19,36,44.0,False,False,1011582.0,
2018,36,2.9653497942386826,80.61151079136691,65.31159420289855,72.85714285714286,8.971052631578948,0.4,heavy,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,37,0.0,83.83458646616542,57.43609022556391,70.57142857142857,3.798571428571428,1.0,dry,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,38,0.2651694915254231,84.32330827067669,59.87218045112782,71.2,6.828571428571428,0.9,light,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,39,0.6714705882352937,71.81954887218045,49.57575757575758,59.97142857142857,6.655714285714286,0.7,moderate,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,40,2.0414705882352937,78.06015037593986,57.1578947368421,65.37142857142857,8.918571428571427,0.4,heavy,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,41,0.901470588235294,64.55639097744361,47.067669172932334,55.68571428571428,9.201428571428572,0.7,moderate,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,42,0.1863713080168772,55.56390977443609,31.57894736842105,44.68571428571428,8.685714285714285,0.9,light,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,43,0.2915189873417717,57.61654135338346,36.13533834586466,47.51428571428571,7.104285714285714,0.9,light,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,44,1.1671610169491524,57.59848484848485,39.80303030303031,49.285714285714285,8.528571428571428,0.7,moderate,1618531.2000000002,16,19,36,44.0,False,True,4046328.0,
2018,45,0.6733760683760683,42.93984962406015,29.345864661654137,35.94285714285714,9.762857142857143,0.7,moderate,809265.6000000001,16,19,36,44.0,False,False,2023164.0,
2018,46,0.2678260869565217,35.54887218045113,22.7218045112782,29.542857142857144,7.845714285714286,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,47,0.5303030303030299,45.59398496240601,29.661654135338345,37.57142857142857,9.868571428571428,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,48,1.626200873362445,38.62015503875969,24.023076923076925,30.2,10.814285714285717,0.4,heavy,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,49,0.1145739910313901,33.136,20.32,26.88571428571429,7.255714285714285,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,50,0.4821874999999995,42.84920634920635,24.936507936507937,33.285714285714285,7.732857142857142,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,51,0.1081249999999995,44.568,28.515873015873016,36.25714285714286,8.610000000000001,0.9,light,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2018,52,0.6746874999999994,43.36507936507937,25.761904761904763,33.77142857142857,9.437142857142858,0.7,moderate,50579.100000000006,16,19,36,44.0,False,False,505791.0,
2019,1,0.7345483870967738,41.19018404907976,27.55828220858896,33.73684210526316,9.569047619047618,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,2,0.8261048689138575,37.3469387755102,24.040816326530614,32.08571428571429,11.61948051948052,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,3,0.3847388059701487,30.31972789115646,19.727891156462587,25.685714285714287,9.275324675324676,0.9,light,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,4,0.8464814814814813,24.445205479452056,2.568493150684932,13.571428571428571,10.337662337662335,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,5,0.2812820512820507,24.598639455782312,2.802721088435374,13.714285714285714,11.04025974025974,0.9,light,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,6,1.0740072202166062,35.04794520547945,18.84931506849315,26.257142857142856,10.287012987012988,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,7,0.7459139784946234,34.6530612244898,18.918367346938776,26.62857142857143,12.154545454545454,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,8,0.8439999999999994,38.13605442176871,22.08843537414966,29.97142857142857,11.467532467532468,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,9,0.0191366906474814,31.877551020408163,16.210884353741495,23.62857142857143,9.166233766233766,0.9,light,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,10,1.0671223021582732,31.84246575342466,16.041095890410958,23.88571428571429,11.61038961038961,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,11,0.8427499999999997,50.36054421768708,31.285714285714285,41.0,11.6012987012987,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,12,0.271971326164874,51.417808219178085,30.73972602739726,42.51428571428571,7.576623376623377,0.9,light,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,13,1.3945,54.23809523809524,32.8843537414966,45.0,10.096103896103896,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,14,0.3454999999999996,57.84353741496599,37.68027210884354,48.85714285714285,8.467532467532468,0.9,light,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,15,1.06875,61.6551724137931,40.41379310344828,50.68571428571428,12.550666666666666,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,16,0.8757499999999996,65.63698630136986,40.6986301369863,54.97142857142857,11.63157894736842,0.7,moderate,728339.0399999999,17,25,38,48.0,False,False,2427796.8,
2019,17,0.8941935483870962,64.52380952380952,43.925170068027214,54.885714285714286,9.603896103896105,0.7,moderate,728339.0399999999,17,25,38,48.0,True,False,2427796.8,
2019,18,3.2505000000000006,62.10204081632653,45.48979591836735,54.22857142857143,7.953246753246753,0.2,very_heavy,728339.0399999999,17,25,38,48.0,True,False,2427796.8,
2019,19,1.333749999999999,64.55102040816327,46.3469387755102,55.371428571428574,9.328571428571427,0.7,moderate,728339.0399999999,17,25,38,48.0,True,False,2427796.8,
2019,20,1.12175,74.14383561643835,50.93197278911565,64.02857142857142,8.592207792207793,0.7,moderate,728339.0399999999,17,25,38,48.0,True,False,2427796.8,
2019,21,2.41325,74.48979591836735,55.72108843537415,65.08571428571429,10.263636363636364,0.4,heavy,80926.56000000001,17,25,38,48.0,True,False,809265.6000000001,
2019,22,2.0935,79.31292517006803,59.17006802721088,69.91428571428571,7.681818181818182,0.4,heavy,80926.56000000001,17,25,38,48.0,True,False,809265.6000000001,
2019,23,0.6119999999999998,82.49659863945578,60.91836734693877,73.08571428571429,8.225974025974025,0.7,moderate,50579.100000000006,17,25,38,48.0,True,False,505791.0,
2019,24,1.5822499999999995,76.02721088435374,55.40136054421769,66.85714285714286,9.475324675324677,0.4,heavy,50579.100000000006,17,25,38,48.0,True,False,505791.0,
2019,25,1.8365,76.79591836734694,60.55102040816327,69.22857142857143,6.998701298701298,0.4,heavy,50579.100000000006,17,25,38,48.0,True,False,505791.0,
2019,26,0.7754999999999994,87.30555555555556,65.84027777777777,77.22857142857143,7.04025974025974,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
2019,27,1.4183154121863797,89.0204081632653,69.7687074829932,79.48571428571428,6.131578947368421,0.7,moderate,50579.100000000006,17,25,38,48.0,False,False,505791.0,
