year,week,labor_hours
2021,7,38.072093248841625
2021,8,38.072093248841625
2021,9,38.072093248841625
2021,10,38.072093248841625
2021,11,38.072093248841625
2021,12,38.072093248841625
2021,13,38.072093248841625
2021,14,38.072093248841625
2021,15,38.072093248841625
2021,16,282.01550554697496
2021,17,282.01550554697496
2021,18,282.01550554697496
2021,19,282.01550554697496
2021,20,282.01550554697496
2021,21,38.072093248841625
2021,22,38.072093248841625
2021,23,38.072093248841625
2021,24,38.072093248841625
2021,25,38.072093248841625
2021,26,38.072093248841625
2021,27,38.072093248841625
2021,28,38.072093248841625
2021,29,38.072093248841625
2021,30,38.072093248841625
2021,31,38.072093248841625
2021,32,38.072093248841625
2021,33,38.072093248841625
2021,34,38.072093248841625
2021,35,38.072093248841625
2021,36,423.02325832046245
2021,37,423.02325832046245
