station,date,AWND,PRCP,TAVG,TMAX,TMIN,year,week
GHCND:USW00094846,2017-01-25,11.4,0.09,37.0,42.0,34.0,2017,4
GHCND:USW00094846,2017-01-26,13.4,0.0,33.0,34.0,30.0,2017,4
GHCND:USW00094846,2017-01-27,14.8,0.0,28.0,31.0,24.0,2017,4
GHCND:USW00094846,2017-01-28,11.6,0.0,27.0,29.0,24.0,2017,4
GHCND:USW00094846,2017-01-29,10.5,0.0,27.0,28.0,21.0,2017,4
GHCND:USW00094846,2017-01-30,10.1,0.01,22.0,37.0,15.0,2017,5
GHCND:USW00094846,2017-01-31,15.7,0.03,36.0,39.0,35.0,2017,5
GHCND:USW00094846,2017-02-01,12.3,0.0,35.0,38.0,21.0,2017,5
GHCND:USW00094846,2017-02-02,13.4,0.0,21.0,24.0,14.0,2017,5
GHCND:USW00094846,2017-02-03,10.5,0.0,19.0,28.0,14.0,2017,5
GHCND:USW00094846,2017-02-04,12.5,0.0,22.0,33.0,10.0,2017,5
GHCND:USW00094846,2017-02-05,8.7,0.0,33.0,38.0,24.0,2017,5
GHCND:USW00094846,2017-02-06,6.9,0.0,33.0,55.0,21.0,2017,6
GHCND:USW00094846,2017-02-07,10.5,0.47,44.0,50.0,32.0,2017,6
GHCND:USW00094846,2017-02-08,11.2,0.0,31.0,32.0,19.0,2017,6
GHCND:USW00094846,2017-02-09,11.6,0.0,19.0,25.0,13.0,2017,6
GHCND:USW00094846,2017-02-10,13.6,0.0,26.0,41.0,18.0,2017,6
GHCND:USW00094846,2017-02-11,6.7,0.0,41.0,49.0,34.0,2017,6
GHCND:USW00094846,2017-02-12,15.9,0.0,39.0,47.0,31.0,2017,6
GHCND:USW00094846,2017-02-13,10.3,0.0,35.0,44.0,25.0,2017,7
GHCND:USW00094846,2017-02-14,14.1,0.0,40.0,50.0,31.0,2017,7
GHCND:USW00094846,2017-02-15,11.2,0.0,33.0,35.0,26.0,2017,7
GHCND:USW00094846,2017-02-16,8.9,0.0,33.0,41.0,30.0,2017,7
GHCND:USW00094846,2017-02-17,8.1,0.0,43.0,67.0,27.0,2017,7
GHCND:USW00094846,2017-02-18,6.9,0.0,58.0,70.0,40.0,2017,7
GHCND:USW00094846,2017-02-19,3.8,0.0,51.0,69.0,35.0,2017,7
GHCND:USW00094846,2017-02-20,12.3,0.0,53.0,70.0,41.0,2017,8
GHCND:USW00094846,2017-02-21,6.5,0.04,60.0,66.0,49.0,2017,8
GHCND:USW00094846,2017-02-22,11.9,0.0,58.0,68.0,50.0,2017,8
GHCND:USW00094846,2017-02-23,12.5,0.21,52.0,59.0,38.0,2017,8
GHCND:USW00094846,2017-02-24,12.5,0.15,39.0,40.0,33.0,2017,8
GHCND:USW00094846,2017-02-25,13.9,0.0,29.0,33.0,23.0,2017,8
GHCND:USW00094846,2017-02-26,13.9,0.0,32.0,49.0,21.0,2017,8
GHCND:USW00094846,2017-02-27,7.4,0.0,41.0,54.0,27.0,2017,9
GHCND:USW00094846,2017-02-28,13.6,0.65,51.0,60.0,47.0,2017,9
GHCND:USW00094846,2017-03-01,14.1,0.12,47.0,54.0,32.0,2017,9
GHCND:USW00094846,2017-03-02,11.0,0.0,32.0,35.0,27.0,2017,9
GHCND:USW00094846,2017-03-03,10.3,0.0,27.0,33.0,21.0,2017,9
GHCND:USW00094846,2017-03-04,14.5,0.01,33.0,42.0,28.0,2017,9
GHCND:USW00094846,2017-03-05,14.5,0.0,41.0,60.0,32.0,2017,9
GHCND:USW00094846,2017-03-06,21.0,0.0,55.0,65.0,52.0,2017,10
GHCND:USW00094846,2017-03-07,19.2,0.24,55.0,65.0,44.0,2017,10
GHCND:USW00094846,2017-03-08,22.1,0.0,46.0,53.0,40.0,2017,10
GHCND:USW00094846,2017-03-09,6.9,0.0,39.0,42.0,29.0,2017,10
GHCND:USW00094846,2017-03-10,14.5,0.0,32.0,36.0,23.0,2017,10
GHCND:USW00094846,2017-03-11,8.5,0.0,24.0,32.0,18.0,2017,10
GHCND:USW00094846,2017-03-12,6.9,0.05,26.0,36.0,18.0,2017,10
GHCND:USW00094846,2017-03-13,10.5,0.24,29.0,31.0,27.0,2017,11
GHCND:USW00094846,2017-03-14,14.1,0.19,25.0,28.0,19.0,2017,11
