field_id,plant_week,harvest_week,early_penalty,late_penalty,frost_penalty,total_penalty,status,makespan,sim,error
F001,16.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F002,17.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F003,19.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F004,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F005,16.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F006,21.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F007,18.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F008,16.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F009,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F010,16.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F011,19.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F012,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F013,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F014,20.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F015,18.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F016,18.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F017,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F018,15.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F019,21.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F020,16.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F021,17.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F022,20.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F023,19.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F024,15.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F025,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,2,
F001,16.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F002,15.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F003,16.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F004,19.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F005,16.0,34.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F006,15.0,35.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F007,16.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F008,17.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F009,19.0,40.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F010,18.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F011,16.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F012,20.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F013,16.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F014,19.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F015,18.0,32.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F016,18.0,43.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F017,16.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F018,18.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F019,19.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F020,20.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F021,17.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F022,18.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F023,18.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F024,21.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F025,16.0,33.0,0.0,0.0,0.0,0.0,OK,44.0,3,
F001,18.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F002,21.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F003,21.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F004,18.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F005,18.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F006,20.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,4,
